 240	75	 23.58%	  2567	2.567%
 241	50	 15.72%	  2617	2.617%
 242	64	 20.13%	  2681	2.681%
 243	70	 22.01%	  2751	2.751%
 244	61	 19.18%	  2812	2.812%
 245	80	 25.16%	  2892	2.892%
 246	51	 16.04%	  2943	2.943%
 247	51	 16.04%	  2994	2.994%
 248	53	 16.67%	  3047	3.047%
 249	59	 18.55%	  3106	3.106%
 250	61	 19.18%	  3167	3.167%
 251	67	 21.07%	  3234	3.234%
 252	51	 16.04%	  3285	3.285%
 253	71	 22.33%	  3356	3.356%
 254	54	 16.98%	  3410	3.41%
 255	82	 25.79%	  3492	3.492%
 256	58	 18.24%	  3550	3.55%
 257	98	 30.82%	  3648	3.648%
 258	58	 18.24%	  3706	3.706%
 259	81	 25.47%	  3787	3.787%
 260	110	 34.59%	  3897	3.897%
 261	77	 24.21%	  3974	3.974%
 262	73	 22.96%	  4047	4.047%
 263	81	 25.47%	  4128	4.128%
 264	76	  23.9%	  4204	4.204%
 265	77	 24.21%	  4281	4.281%
 266	77	 24.21%	  4358	4.358%
 267	73	 22.96%	  4431	4.431%
 268	74	 23.27%	  4505	4.505%
 269	93	 29.25%	  4598	4.598%
 270	101	 31.76%	  4699	4.699%
 271	71	 22.33%	  4770	4.77%
 272	90	  28.3%	  4860	4.86%
 273	66	 20.75%	  4926	4.926%
 274	76	  23.9%	  5002	5.002%
 275	93	 29.25%	  5095	5.095%
 276	76	  23.9%	  5171	5.171%
 277	89	 27.99%	  5260	5.26%
 278	74	 23.27%	  5334	5.334%
 279	67	 21.07%	  5401	5.401%
 280	76	  23.9%	  5477	5.477%
 281	99	 31.13%	  5576	5.576%
 282	89	 27.99%	  5665	5.665%
 283	106	 33.33%	  5771	5.771%
 284	92	 28.93%	  5863	5.863%
 285	108	 33.96%	  5971	5.971%
 286	96	 30.19%	  6067	6.067%
 287	112	 35.22%	  6179	6.179%
 288	74	 23.27%	  6253	6.253%
 289	95	 29.87%	  6348	6.348%
 290	64	 20.13%	  6412	6.412%
 291	83	  26.1%	  6495	6.495%
 292	100	 31.45%	  6595	6.595%
